order_id,order_timestamp,sku_id,picker_id,travel_distance_m,movement_timestamp,time_diff,velocity
ORD-85D8CE,2024-01-21 19:37:22,SKU-10580,PICKER-07,29.66,2024-01-21 19:39:22,1.0,29.66
ORD-C52F1B,2024-01-21 19:37:28,SKU-10323,PICKER-07,11.81,2024-01-21 19:39:28,0.0,inf
ORD-8F5329,2024-01-23 21:09:52,SKU-10232,PICKER-07,16.99,2024-01-23 21:11:52,0.0,inf
ORD-8F5329,2024-01-23 21:09:52,SKU-10344,PICKER-07,19.55,2024-01-23 21:11:52,0.0,inf
ORD-6EA9AB,2024-01-24 20:40:55,SKU-10042,PICKER-07,17.3,2024-01-24 20:42:55,0.0,inf
ORD-92CC22,2024-01-24 21:13:39,SKU-10319,PICKER-07,13.34,2024-01-24 21:15:39,0.0,inf
ORD-1D7F7A,2024-01-25 18:31:24,SKU-10218,PICKER-07,6.34,2024-01-25 18:33:24,0.0,inf
ORD-C0C7C7,2024-01-25 23:02:44,SKU-10118,PICKER-07,27.73,2024-01-25 23:04:44,0.0,inf
ORD-9B8619,2024-01-26 20:43:04,SKU-10065,PICKER-07,21.59,2024-01-26 20:45:04,0.0,inf
ORD-E2C420,2024-01-28 21:20:17,SKU-10264,PICKER-07,8.74,2024-01-28 21:22:17,0.0,inf
ORD-FA7CDF,2024-01-31 18:08:00,SKU-10100,PICKER-07,19.34,2024-01-31 18:10:00,0.0,inf
ORD-11B984,2024-02-02 19:42:13,SKU-10550,PICKER-07,21.24,2024-02-02 19:44:13,0.0,inf
ORD-1FF8A7,2024-02-02 20:07:45,SKU-10064,PICKER-07,5.16,2024-02-02 20:09:45,0.0,inf
ORD-26E359,2024-02-02 20:26:33,SKU-10176,PICKER-07,13.72,2024-02-02 20:28:33,0.0,inf
ORD-A8BAA5,2024-02-03 19:15:26,SKU-10378,PICKER-07,9.25,2024-02-03 19:17:26,0.0,inf
ORD-918890,2024-02-03 21:47:21,SKU-10604,PICKER-07,15.49,2024-02-03 21:49:21,2.0,7.745
ORD-3988C7,2024-02-04 17:37:08,SKU-10601,PICKER-07,23.87,2024-02-04 17:39:08,0.0,inf
ORD-B1A59B,2024-02-04 17:43:42,SKU-10348,PICKER-07,21.07,2024-02-04 17:45:42,0.0,inf
ORD-A8C88A,2024-02-04 19:48:52,SKU-10449,PICKER-07,17.81,2024-02-04 19:50:52,0.0,inf
ORD-82AA4B,2024-02-06 17:04:16,SKU-10235,PICKER-07,23.25,2024-02-06 17:06:16,0.0,inf
ORD-060AD9,2024-02-06 18:12:51,SKU-10499,PICKER-07,23.43,2024-02-06 18:14:51,0.0,inf
ORD-68D30A,2024-02-06 21:54:59,SKU-10219,PICKER-07,23.66,2024-02-06 21:56:59,3.0,7.886666666666667
ORD-CEDEBB,2024-02-07 19:14:46,SKU-10184,PICKER-07,17.61,2024-02-07 19:16:46,0.0,inf
ORD-32BB90,2024-02-07 20:44:08,SKU-10208,PICKER-07,8.79,2024-02-07 20:46:08,0.0,inf
ORD-1534B7,2024-02-07 21:55:11,SKU-10266,PICKER-07,18.15,2024-02-07 21:57:11,0.0,inf
ORD-37A749,2024-02-08 18:39:09,SKU-10310,PICKER-07,29.48,2024-02-08 18:41:09,0.0,inf
ORD-96DA2F,2024-02-08 19:23:29,SKU-10152,PICKER-07,12.57,2024-02-08 19:25:29,0.0,inf
ORD-283802,2024-02-09 16:29:05,SKU-10548,PICKER-07,24.18,2024-02-09 16:31:05,0.0,inf
ORD-AD13A2,2024-02-10 21:29:36,SKU-10214,PICKER-07,7.31,2024-02-10 21:31:36,0.0,inf
ORD-BC6DC4,2024-02-11 18:34:04,SKU-10402,PICKER-07,24.91,2024-02-11 18:36:04,1.0,24.91
ORD-BC6DC4,2024-02-11 18:34:04,SKU-10245,PICKER-07,24.47,2024-02-11 18:36:04,0.0,inf
ORD-EECCA5,2024-02-11 18:56:19,SKU-10764,PICKER-07,22.59,2024-02-11 18:58:19,0.0,inf
ORD-C45147,2024-02-14 21:40:44,SKU-10341,PICKER-07,15.53,2024-02-14 21:42:44,0.0,inf
ORD-BF8229,2024-02-15 20:42:52,SKU-10658,PICKER-07,19.38,2024-02-15 20:44:52,0.0,inf
ORD-289DFF,2024-02-16 18:42:58,SKU-10371,PICKER-07,18.02,2024-02-16 18:44:58,0.0,inf
ORD-C0E190,2024-02-16 20:32:50,SKU-10665,PICKER-07,26.8,2024-02-16 20:34:50,0.0,inf
ORD-BE83AB,2024-02-17 21:55:26,SKU-10292,PICKER-07,18.64,2024-02-17 21:57:26,0.0,inf
ORD-3DEF18,2024-02-18 18:07:50,SKU-10173,PICKER-07,26.73,2024-02-18 18:09:50,2.0,13.365
ORD-3DEF18,2024-02-18 18:07:50,SKU-10710,PICKER-07,12.9,2024-02-18 18:09:50,0.0,inf
ORD-0E6597,2024-02-22 21:16:07,SKU-10162,PICKER-07,24.97,2024-02-22 21:18:07,0.0,inf
ORD-3295C7,2024-02-23 18:37:45,SKU-10270,PICKER-07,11.23,2024-02-23 18:39:45,0.0,inf
ORD-07E1CD,2024-02-27 20:12:31,SKU-10383,PICKER-07,23.22,2024-02-27 20:14:31,0.0,inf
ORD-9778D5,2024-02-28 20:24:41,SKU-10121,PICKER-07,26.99,2024-02-28 20:26:41,0.0,inf
ORD-757B50,2024-03-01 17:06:49,SKU-10361,PICKER-07,26.24,2024-03-01 17:08:49,0.0,inf
ORD-F9B902,2024-03-01 18:21:44,SKU-10123,PICKER-07,11.66,2024-03-01 18:23:44,0.0,inf
ORD-F73B76,2024-03-02 20:49:50,SKU-10602,PICKER-07,27.96,2024-03-02 20:51:50,4.0,6.99
ORD-74DB12,2024-03-03 18:39:59,SKU-10507,PICKER-07,22.1,2024-03-03 18:41:59,0.0,inf
ORD-F73B76,2024-03-03 21:55:28,SKU-10499,PICKER-07,11.89,2024-03-03 21:57:28,0.0,inf
ORD-EECCA5,2024-03-07 18:11:10,SKU-10241,PICKER-07,6.32,2024-03-07 18:13:10,0.0,inf
ORD-07E1CD,2024-03-08 17:26:44,SKU-10142,PICKER-07,27.07,2024-03-08 17:28:44,0.0,inf
ORD-92CC22,2024-03-09 19:25:14,SKU-10275,PICKER-07,20.91,2024-03-09 19:27:14,0.0,inf
ORD-289DFF,2024-03-12 17:48:42,SKU-10284,PICKER-07,29.21,2024-03-12 17:50:42,0.0,inf
ORD-C24CD7,2024-03-14 19:17:49,SKU-10055,PICKER-07,5.26,2024-03-14 19:19:49,0.0,inf
ORD-BD686F,2024-03-14 20:37:32,SKU-10615,PICKER-07,7.64,2024-03-14 20:39:32,0.0,inf
ORD-93DB85,2024-03-14 20:49:45,SKU-10401,PICKER-07,15.75,2024-03-14 20:51:45,0.0,inf
ORD-68D30A,2024-03-15 17:22:17,SKU-10543,PICKER-07,13.61,2024-03-15 17:24:17,0.0,inf
ORD-FBD793,2024-03-15 19:03:11,SKU-10201,PICKER-07,21.27,2024-03-15 19:05:11,0.0,inf
ORD-FC2213,2024-03-15 22:32:29,SKU-10493,PICKER-07,19.22,2024-03-15 22:34:29,0.0,inf
ORD-060AD9,2024-03-16 16:38:22,SKU-10765,PICKER-07,7.46,2024-03-16 16:40:22,0.0,inf
ORD-5B8ADD,2024-03-16 19:38:26,SKU-10516,PICKER-07,7.75,2024-03-16 19:40:26,0.0,inf
ORD-335F53,2024-03-17 20:27:28,SKU-10286,PICKER-07,11.31,2024-03-17 20:29:28,0.0,inf
ORD-26657D,2024-03-21 16:18:26,SKU-10277,PICKER-07,20.93,2024-03-21 16:20:26,0.0,inf
ORD-38DB3A,2024-03-21 20:49:52,SKU-10505,PICKER-07,26.9,2024-03-21 20:51:52,0.0,inf
ORD-202CB9,2024-03-21 21:02:58,SKU-10199,PICKER-07,15.89,2024-03-21 21:04:58,2.0,7.945
ORD-091D58,2024-03-22 19:57:30,SKU-10791,PICKER-07,21.38,2024-03-22 19:59:30,0.0,inf
ORD-EAE27D,2024-03-23 19:59:19,SKU-10463,PICKER-07,23.2,2024-03-23 20:01:19,0.0,inf
ORD-918890,2024-03-23 20:03:41,SKU-10684,PICKER-07,16.1,2024-03-23 20:05:41,0.0,inf
ORD-8F8551,2024-03-24 18:18:26,SKU-10461,PICKER-07,21.98,2024-03-24 18:20:26,0.0,inf
ORD-FE131D,2024-03-25 21:57:33,SKU-10572,PICKER-07,17.17,2024-03-25 21:59:33,0.0,inf
ORD-26657D,2024-03-26 16:48:07,SKU-10549,PICKER-07,29.13,2024-03-26 16:50:07,0.0,inf
ORD-BD4C9A,2024-03-28 19:25:48,SKU-10068,PICKER-07,6.93,2024-03-28 19:27:48,0.0,inf
ORD-53C3BC,2024-03-30 19:28:15,SKU-10026,PICKER-07,6.16,2024-03-30 19:30:15,0.0,inf
ORD-DB8E1A,2024-03-31 20:48:16,SKU-10658,PICKER-07,6.87,2024-03-31 20:50:16,0.0,inf
ORD-819F46,2024-04-01 20:21:09,SKU-10380,PICKER-07,10.4,2024-04-01 20:23:09,0.0,inf
ORD-0F49C8,2024-04-01 21:18:34,SKU-10408,PICKER-07,18.94,2024-04-01 21:20:34,0.0,inf
ORD-274AD4,2024-04-02 19:03:59,SKU-10366,PICKER-07,13.77,2024-04-02 19:05:59,0.0,inf
ORD-48AEDB,2024-04-02 19:04:02,SKU-10134,PICKER-07,17.02,2024-04-02 19:06:02,3.0,5.673333333333333
ORD-903CE9,2024-04-02 19:37:47,SKU-10721,PICKER-07,11.13,2024-04-02 19:39:47,0.0,inf
ORD-EECCA5,2024-04-02 20:22:55,SKU-10330,PICKER-07,6.47,2024-04-02 20:24:55,0.0,inf
ORD-7F6FFA,2024-04-02 21:03:17,SKU-10719,PICKER-07,26.93,2024-04-02 21:05:17,0.0,inf
ORD-5FD0B3,2024-04-02 21:29:58,SKU-10416,PICKER-07,12.42,2024-04-02 21:31:58,1.0,12.42
ORD-496E05,2024-04-03 17:11:20,SKU-10458,PICKER-07,23.91,2024-04-03 17:13:20,0.0,inf
ORD-F61D69,2024-04-03 19:13:50,SKU-10511,PICKER-07,13.24,2024-04-03 19:15:50,0.0,inf
ORD-57AEEE,2024-04-03 21:16:10,SKU-10028,PICKER-07,14.45,2024-04-03 21:18:10,0.0,inf
ORD-045117,2024-04-04 19:52:36,SKU-10399,PICKER-07,29.39,2024-04-04 19:54:36,0.0,inf
ORD-19F3CD,2024-04-05 17:07:52,SKU-10322,PICKER-07,10.53,2024-04-05 17:09:52,0.0,inf
ORD-E4A622,2024-04-05 21:17:16,SKU-10433,PICKER-07,8.26,2024-04-05 21:19:16,0.0,inf
ORD-E4A622,2024-04-06 19:01:48,SKU-10646,PICKER-07,29.91,2024-04-06 19:03:48,0.0,inf
ORD-274AD4,2024-04-09 20:05:14,SKU-10784,PICKER-07,17.32,2024-04-09 20:07:14,0.0,inf
ORD-E96ED4,2024-04-10 17:03:37,SKU-10163,PICKER-07,11.67,2024-04-10 17:05:37,0.0,inf
ORD-A2557A,2024-04-10 18:49:39,SKU-10577,PICKER-07,23.1,2024-04-10 18:51:39,0.0,inf
ORD-06EB61,2024-04-11 19:22:55,SKU-10401,PICKER-07,17.98,2024-04-11 19:24:55,0.0,inf
ORD-06138B,2024-04-13 19:52:54,SKU-10719,PICKER-07,20.2,2024-04-13 19:54:54,0.0,inf
ORD-D96409,2024-04-13 20:00:11,SKU-10344,PICKER-07,20.55,2024-04-13 20:02:11,0.0,inf
ORD-53C3BC,2024-04-13 20:40:07,SKU-10022,PICKER-07,28.57,2024-04-13 20:42:07,0.0,inf
ORD-158F30,2024-04-14 21:07:44,SKU-10278,PICKER-07,21.28,2024-04-14 21:09:44,0.0,inf
ORD-158F30,2024-04-14 21:07:44,SKU-10298,PICKER-07,29.16,2024-04-14 21:09:44,0.0,inf
ORD-821612,2024-04-15 20:27:33,SKU-10340,PICKER-07,22.72,2024-04-15 20:29:33,3.0,7.573333333333333
ORD-8D5E95,2024-04-15 20:55:47,SKU-10457,PICKER-07,6.35,2024-04-15 20:57:47,0.0,inf
ORD-8C19F5,2024-04-17 19:26:18,SKU-10561,PICKER-07,28.91,2024-04-17 19:28:18,0.0,inf
ORD-013D40,2024-04-17 20:57:58,SKU-10272,PICKER-07,8.97,2024-04-17 20:59:58,0.0,inf
ORD-5B8ADD,2024-04-20 20:13:49,SKU-10685,PICKER-07,15.42,2024-04-20 20:15:49,0.0,inf
ORD-A5E001,2024-04-24 18:25:21,SKU-10484,PICKER-07,7.8,2024-04-24 18:27:21,0.0,inf
ORD-9DCB88,2024-04-26 21:33:11,SKU-10175,PICKER-07,27.45,2024-04-26 21:35:11,0.0,inf
ORD-077E29,2024-04-27 21:56:54,SKU-10089,PICKER-07,6.27,2024-04-27 21:58:54,0.0,inf
ORD-138597,2024-04-28 19:01:16,SKU-10418,PICKER-07,5.94,2024-04-28 19:03:16,0.0,inf
ORD-0266E3,2024-04-28 21:22:19,SKU-10139,PICKER-07,16.26,2024-04-28 21:24:19,0.0,inf
ORD-E96ED4,2024-05-01 21:57:41,SKU-10163,PICKER-07,5.14,2024-05-01 21:59:41,0.0,inf
ORD-1534B7,2024-05-02 18:58:16,SKU-10149,PICKER-07,18.74,2024-05-02 19:00:16,2.0,9.37
ORD-F71849,2024-05-02 19:15:36,SKU-10681,PICKER-07,18.33,2024-05-02 19:17:36,0.0,inf
ORD-E3796A,2024-05-02 19:54:28,SKU-10445,PICKER-07,20.39,2024-05-02 19:56:28,1.0,20.39
ORD-E3796A,2024-05-02 19:54:28,SKU-10367,PICKER-07,14.53,2024-05-02 19:56:28,0.0,inf
ORD-BD686F,2024-05-02 20:02:51,SKU-10594,PICKER-07,8.65,2024-05-02 20:04:51,0.0,inf
ORD-335F53,2024-05-02 20:14:50,SKU-10544,PICKER-07,19.32,2024-05-02 20:16:50,0.0,inf
ORD-5737C6,2024-05-03 19:00:27,SKU-10600,PICKER-07,6.46,2024-05-03 19:02:27,0.0,inf
ORD-EAE27D,2024-05-03 21:05:15,SKU-10320,PICKER-07,29.47,2024-05-03 21:07:15,0.0,inf
ORD-5878A7,2024-05-05 18:17:22,SKU-10285,PICKER-07,7.59,2024-05-05 18:19:22,0.0,inf
ORD-3FE94A,2024-05-06 20:01:07,SKU-10712,PICKER-07,6.99,2024-05-06 20:03:07,0.0,inf
ORD-19F3CD,2024-05-07 17:01:25,SKU-10460,PICKER-07,26.84,2024-05-07 17:03:25,0.0,inf
ORD-57AEEE,2024-05-07 18:23:57,SKU-10573,PICKER-07,17.2,2024-05-07 18:25:57,0.0,inf
ORD-74DB12,2024-05-07 22:08:08,SKU-10550,PICKER-07,12.88,2024-05-07 22:10:08,0.0,inf
ORD-EDA80A,2024-05-09 18:52:56,SKU-10272,PICKER-07,19.38,2024-05-09 18:54:56,0.0,inf
ORD-3AD7C2,2024-05-09 19:02:43,SKU-10683,PICKER-07,28.86,2024-05-09 19:04:43,0.0,inf
ORD-F9B902,2024-05-10 18:47:29,SKU-10557,PICKER-07,17.0,2024-05-10 18:49:29,0.0,inf
ORD-B73CE3,2024-05-11 19:01:17,SKU-10467,PICKER-07,29.21,2024-05-11 19:03:17,0.0,inf
ORD-2F2B26,2024-05-11 19:28:12,SKU-10413,PICKER-07,26.85,2024-05-11 19:30:12,0.0,inf
ORD-2F2B26,2024-05-11 19:28:12,SKU-10540,PICKER-07,24.35,2024-05-11 19:30:12,0.0,inf
ORD-274AD4,2024-05-12 17:37:11,SKU-10278,PICKER-07,28.68,2024-05-12 17:39:11,0.0,inf
ORD-82CEC9,2024-05-12 17:48:27,SKU-10116,PICKER-07,17.56,2024-05-12 17:50:27,0.0,inf
ORD-EF0D39,2024-05-13 21:38:53,SKU-10462,PICKER-07,22.21,2024-05-13 21:40:53,0.0,inf
ORD-F22170,2024-05-15 18:18:39,SKU-10768,PICKER-07,11.35,2024-05-15 18:20:39,0.0,inf
ORD-8F5329,2024-05-15 19:56:32,SKU-10334,PICKER-07,7.92,2024-05-15 19:58:32,0.0,inf
ORD-D6BAF6,2024-05-15 20:56:17,SKU-10425,PICKER-07,10.63,2024-05-15 20:58:17,0.0,inf
ORD-F340F1,2024-05-15 21:09:40,SKU-10078,PICKER-07,16.36,2024-05-15 21:11:40,0.0,inf
ORD-EDDEA8,2024-05-18 19:21:52,SKU-10596,PICKER-07,11.82,2024-05-18 19:23:52,0.0,inf
ORD-7EABE3,2024-05-21 20:25:23,SKU-10295,PICKER-07,29.36,2024-05-21 20:27:23,3.0,9.786666666666667
ORD-D947BF,2024-05-21 21:04:47,SKU-10575,PICKER-07,28.0,2024-05-21 21:06:47,0.0,inf
ORD-C3E878,2024-05-26 19:15:40,SKU-10765,PICKER-07,13.43,2024-05-26 19:17:40,0.0,inf
ORD-D296C1,2024-05-27 20:22:37,SKU-10238,PICKER-07,6.05,2024-05-27 20:24:37,0.0,inf
ORD-20F075,2024-05-30 19:16:43,SKU-10789,PICKER-07,19.53,2024-05-30 19:18:43,0.0,inf
ORD-BBCBFF,2024-06-02 16:25:31,SKU-10020,PICKER-07,11.24,2024-06-02 16:27:31,0.0,inf
ORD-D1C38A,2024-06-02 19:36:54,SKU-10057,PICKER-07,27.05,2024-06-02 19:38:54,0.0,inf
ORD-1A5B1E,2024-06-02 19:42:09,SKU-10684,PICKER-07,29.53,2024-06-02 19:44:09,0.0,inf
ORD-577EF1,2024-06-02 21:40:04,SKU-10073,PICKER-07,15.51,2024-06-02 21:42:04,0.0,inf
ORD-B73CE3,2024-06-02 21:45:04,SKU-10495,PICKER-07,27.06,2024-06-02 21:47:04,0.0,inf
ORD-E2C0BE,2024-06-03 17:05:05,SKU-10421,PICKER-07,6.01,2024-06-03 17:07:05,0.0,inf
ORD-577EF1,2024-06-03 19:42:23,SKU-10180,PICKER-07,18.28,2024-06-03 19:44:23,0.0,inf
ORD-B73CE3,2024-06-07 20:40:25,SKU-10452,PICKER-07,21.32,2024-06-07 20:42:25,0.0,inf
ORD-82CEC9,2024-06-07 20:51:22,SKU-10412,PICKER-07,11.92,2024-06-07 20:53:22,2.0,5.96
ORD-289DFF,2024-06-09 18:56:57,SKU-10508,PICKER-07,19.5,2024-06-09 18:58:57,0.0,inf
ORD-D39577,2024-06-11 20:07:58,SKU-10657,PICKER-07,21.51,2024-06-11 20:09:58,0.0,inf
ORD-57AEEE,2024-06-11 22:24:26,SKU-10383,PICKER-07,20.94,2024-06-11 22:26:26,0.0,inf
ORD-36660E,2024-06-18 20:21:40,SKU-10136,PICKER-07,12.31,2024-06-18 20:23:40,0.0,inf
ORD-19F3CD,2024-06-20 17:05:22,SKU-10573,PICKER-07,10.86,2024-06-20 17:07:22,0.0,inf
ORD-58A2FC,2024-06-22 16:30:44,SKU-10485,PICKER-07,10.11,2024-06-22 16:32:44,0.0,inf
ORD-FC2213,2024-06-22 22:54:37,SKU-10524,PICKER-07,13.49,2024-06-22 22:56:37,0.0,inf
ORD-39461A,2024-06-23 18:00:03,SKU-10179,PICKER-07,29.91,2024-06-23 18:02:03,0.0,inf
ORD-A4F236,2024-06-26 16:08:55,SKU-10362,PICKER-07,25.79,2024-06-26 16:10:55,0.0,inf
ORD-26E359,2024-06-28 19:53:46,SKU-10431,PICKER-07,5.96,2024-06-28 19:55:46,0.0,inf
ORD-688396,2024-06-29 20:26:17,SKU-10177,PICKER-07,16.5,2024-06-29 20:28:17,0.0,inf
ORD-63923F,2024-06-29 20:40:08,SKU-10506,PICKER-07,6.87,2024-06-29 20:42:08,0.0,inf
ORD-854D6F,2024-06-30 18:44:20,SKU-10381,PICKER-07,8.26,2024-06-30 18:46:20,0.0,inf
ORD-E8C065,2024-07-01 17:12:17,SKU-10652,PICKER-07,8.4,2024-07-01 17:14:17,0.0,inf
ORD-EC8CE6,2024-07-01 20:12:38,SKU-10758,PICKER-07,26.27,2024-07-01 20:14:38,2.0,13.135
ORD-390597,2024-07-02 22:15:56,SKU-10570,PICKER-07,29.82,2024-07-02 22:17:56,2.0,14.91
ORD-FE131D,2024-07-03 17:28:47,SKU-10753,PICKER-07,23.35,2024-07-03 17:30:47,0.0,inf
ORD-8F121C,2024-07-03 19:43:44,SKU-10749,PICKER-07,15.96,2024-07-03 19:45:44,0.0,inf
ORD-03C6B0,2024-07-04 19:37:06,SKU-10190,PICKER-07,15.12,2024-07-04 19:39:06,0.0,inf
ORD-6C9882,2024-07-05 22:26:49,SKU-10456,PICKER-07,23.51,2024-07-05 22:28:49,0.0,inf
ORD-758874,2024-07-06 19:47:06,SKU-10546,PICKER-07,13.64,2024-07-06 19:49:06,0.0,inf
ORD-4F4ADC,2024-07-07 16:57:11,SKU-10508,PICKER-07,6.85,2024-07-07 16:59:11,0.0,inf
ORD-0AA188,2024-07-09 19:06:44,SKU-10506,PICKER-07,19.71,2024-07-09 19:08:44,0.0,inf
ORD-6C524F,2024-07-09 19:31:31,SKU-10781,PICKER-07,10.11,2024-07-09 19:33:31,0.0,inf
ORD-EB1637,2024-07-09 21:58:51,SKU-10617,PICKER-07,8.87,2024-07-09 22:00:51,0.0,inf
ORD-EB1637,2024-07-09 21:58:51,SKU-10126,PICKER-07,14.3,2024-07-09 22:00:51,0.0,inf
ORD-DC912A,2024-07-11 16:17:08,SKU-10560,PICKER-07,20.64,2024-07-11 16:19:08,0.0,inf
ORD-950A41,2024-07-11 16:25:50,SKU-10423,PICKER-07,10.31,2024-07-11 16:27:50,0.0,inf
ORD-6FAA80,2024-07-11 20:53:45,SKU-10656,PICKER-07,27.43,2024-07-11 20:55:45,0.0,inf
ORD-8EFB10,2024-07-12 20:15:49,SKU-10712,PICKER-07,26.97,2024-07-12 20:17:49,0.0,inf
ORD-357A6F,2024-07-12 21:58:14,SKU-10660,PICKER-07,16.47,2024-07-12 22:00:14,0.0,inf
ORD-189977,2024-07-13 21:54:14,SKU-10158,PICKER-07,24.53,2024-07-13 21:56:14,0.0,inf
ORD-502E4A,2024-07-14 17:08:43,SKU-10357,PICKER-07,19.81,2024-07-14 17:10:43,0.0,inf
ORD-3B8A61,2024-07-14 23:00:34,SKU-10709,PICKER-07,18.29,2024-07-14 23:02:34,0.0,inf
ORD-6DA900,2024-07-15 18:04:44,SKU-10481,PICKER-07,23.38,2024-07-15 18:06:44,0.0,inf
ORD-F71849,2024-07-15 21:38:27,SKU-10713,PICKER-07,19.17,2024-07-15 21:40:27,0.0,inf
ORD-AA942A,2024-07-17 21:12:54,SKU-10055,PICKER-07,9.26,2024-07-17 21:14:54,0.0,inf
ORD-06EB61,2024-07-17 22:28:54,SKU-10594,PICKER-07,24.66,2024-07-17 22:30:54,0.0,inf
ORD-3DD48A,2024-07-18 19:22:34,SKU-10491,PICKER-07,12.47,2024-07-18 19:24:34,0.0,inf
ORD-950A41,2024-07-19 19:32:40,SKU-10463,PICKER-07,21.87,2024-07-19 19:34:40,0.0,inf
ORD-5EF698,2024-07-20 20:13:06,SKU-10399,PICKER-07,29.97,2024-07-20 20:15:06,0.0,inf
ORD-3FE94A,2024-07-20 21:06:55,SKU-10702,PICKER-07,9.62,2024-07-20 21:08:55,0.0,inf
ORD-C86A7E,2024-07-21 20:24:41,SKU-10408,PICKER-07,24.76,2024-07-21 20:26:41,0.0,inf
ORD-289DFF,2024-07-22 20:45:30,SKU-10064,PICKER-07,12.49,2024-07-22 20:47:30,0.0,inf
ORD-289DFF,2024-07-22 20:45:30,SKU-10653,PICKER-07,19.8,2024-07-22 20:47:30,0.0,inf
ORD-D947BF,2024-07-23 19:03:21,SKU-10560,PICKER-07,16.79,2024-07-23 19:05:21,0.0,inf
ORD-4F4ADC,2024-07-24 20:17:34,SKU-10468,PICKER-07,7.0,2024-07-24 20:19:34,0.0,inf
ORD-154384,2024-07-25 18:33:56,SKU-10613,PICKER-07,13.44,2024-07-25 18:35:56,0.0,inf
ORD-8DD48D,2024-07-25 21:12:11,SKU-10585,PICKER-07,16.46,2024-07-25 21:14:11,0.0,inf
ORD-950A41,2024-07-25 22:56:25,SKU-10778,PICKER-07,16.38,2024-07-25 22:58:25,0.0,inf
ORD-CFA086,2024-07-25 23:27:50,SKU-10780,PICKER-07,14.4,2024-07-25 23:29:50,0.0,inf
ORD-9CFDF1,2024-07-27 17:10:45,SKU-10033,PICKER-07,9.88,2024-07-27 17:12:45,0.0,inf
ORD-577EF1,2024-07-29 19:50:43,SKU-10217,PICKER-07,21.66,2024-07-29 19:52:43,0.0,inf
ORD-335F53,2024-07-31 20:27:02,SKU-10653,PICKER-07,17.81,2024-07-31 20:29:02,0.0,inf
ORD-9431C8,2024-08-01 20:35:59,SKU-10500,PICKER-07,26.29,2024-08-01 20:37:59,0.0,inf
ORD-B2EB73,2024-08-02 20:44:07,SKU-10369,PICKER-07,28.28,2024-08-02 20:46:07,0.0,inf
ORD-076A0C,2024-08-03 19:52:14,SKU-10456,PICKER-07,19.57,2024-08-03 19:54:14,0.0,inf
ORD-46922A,2024-08-03 20:34:39,SKU-10356,PICKER-07,28.78,2024-08-03 20:36:39,0.0,inf
ORD-74071A,2024-08-03 23:44:01,SKU-10167,PICKER-07,10.15,2024-08-03 23:46:01,0.0,inf
ORD-C0E190,2024-08-04 19:37:29,SKU-10160,PICKER-07,25.42,2024-08-04 19:39:29,0.0,inf
ORD-BCA82E,2024-08-04 20:17:00,SKU-10645,PICKER-07,7.2,2024-08-04 20:19:00,0.0,inf
